Arrival_time,Departure_time,Destination,Flight_number,Origin,comfort_title,price
08 h 25,07 h 05,MPL,,ORY,,77 €
17 h 30,16 h 10,MPL,,ORY,,113 €
08 h 25,07 h 05,MPL,,ORY,,117 €
19 h 50,18 h 30,MPL,,ORY,,145 €
09 h 15,07 h 50,MPL,,CDG,,195 €
22 h 40,21 h 15,MPL,,CDG,,266 €
20 h 00,18 h 35,MPL,,CDG,,341 €
14 h 40,13 h 15,MPL,,CDG,,611 €
09 h 20,07 h 50,ORY,,MPL,,75 €
10 h 30,09 h 00,ORY,,MPL,,84 €
19 h 50,18 h 20,ORY,,MPL,,95 €
09 h 20,07 h 50,ORY,,MPL,,115 €
07 h 30,06 h 00,CDG,,MPL,,139 €
11 h 35,10 h 05,CDG,,MPL,,139 €
13 h 55,12 h 25,CDG,,MPL,,156 €
17 h 00,15 h 30,CDG,,MPL,,156 €
22 h 20,20 h 50,CDG,,MPL,,156 €
